tick,white population,black population,luminosity,global temperature
219,0,184,0.8,34.1417592174
220,0,178,0.8,34.1724013497
221,0,184,0.8,34.1257781196
222,0,171,0.8,34.1629269994
223,0,166,0.8,34.0367059086
224,0,195,0.8,33.9153167199
225,0,199,0.8,34.1423863791
226,0,212,0.8,34.2981979183
227,0,212,0.8,34.5168095848
228,0,197,0.8,34.6295752506
229,0,192,0.8,34.5304870286
230,0,175,0.8,34.4244879203
231,0,171,0.8,34.1942360556
232,0,179,0.8,34.0395970207
233,0,199,0.8,34.0412381961
234,0,222,0.8,34.2452511259
235,0,223,0.8,34.5800575791
236,0,220,0.8,34.7586954523
237,0,207,0.8,34.8182461879
238,0,187,0.8,34.7142658435
239,0,168,0.8,34.462664724
240,0,162,0.8,34.1409712418
241,0,158,0.8,33.9252431003
242,0,163,0.8,33.7761724303
243,0,162,0.8,33.7533886799
244,0,161,0.8,33.7330759323
245,0,154,0.8,33.7205593559
246,0,157,0.8,33.6393290954
247,0,170,0.8,33.6277493606
248,0,178,0.8,33.7508326337
249,0,181,0.8,33.8983450035
250,0,194,0.8,34.0014791218
251,0,206,0.8,34.1844063686
252,0,190,0.8,34.3946962806
253,0,183,0.8,34.3307677993
254,0,156,0.8,34.2239814405
255,0,159,0.8,33.8947329271
256,0,161,0.8,33.7604612696
257,0,167,0.8,33.7192937441
258,0,166,0.8,33.7593399686
259,0,184,0.8,33.7616788937
260,0,177,0.8,33.9474581166
261,0,180,0.8,33.9732692465
262,0,176,0.8,34.0203185918
263,0,168,0.8,34.0047769846
264,0,171,0.8,33.9227266973
265,0,184,0.8,33.9132357578
266,0,192,0.8,34.0400514861
267,0,197,0.8,34.1889859793
268,0,190,0.8,34.3107889435
269,0,196,0.8,34.3009720719
270,0,212,0.8,34.3590208766
271,0,217,0.8,34.5556998818
272,0,219,0.8,34.7083138286
273,0,195,0.8,34.8112014952
274,0,190,0.8,34.6129825139
275,0,175,0.8,34.4561852113
276,0,179,0.8,34.213499289
277,0,175,0.8,34.1282776533
278,0,176,0.8,34.0489413187
279,0,164,0.8,34.0254665342
280,0,163,0.8,33.8976706756
281,0,167,0.8,33.8266877325
282,0,172,0.8,33.8263302405
283,0,177,0.8,33.8729305851
284,0,181,0.8,33.9341924466
285,0,172,0.8,34.0080717945
286,0,173,0.8,33.9549295202
287,0,168,0.8,33.9403972098
288,0,169,0.8,33.8838033621
289,0,164,0.8,33.863911353
290,0,171,0.8,33.8005523785
291,0,173,0.8,33.8387050308
292,0,175,0.8,33.8745691985
293,0,180,0.8,33.9149664811
294,0,167,0.8,33.9948154372
295,0,178,0.8,33.9059468424
296,0,179,0.8,33.973565158
297,0,183,0.8,34.0135187878
298,0,183,0.8,34.0678714225
299,0,182,0.8,34.0921628466
300,0,163,0.8,34.0929081029
301,0,161,0.8,33.8979900019
302,0,172,0.8,33.778535962
303,0,155,0.8,33.8290666774
304,0,157,0.8,33.6793967216
305,0,155,0.8,33.6315620516
306,0,162,0.8,33.59467396
307,0,158,0.8,33.6522185022
308,0,165,0.8,33.6391314774
309,0,168,0.8,33.7045551228
310,0,161,0.8,33.7614025359
311,0,165,0.8,33.7107407622
312,0,162,0.8,33.7215425033
313,0,171,0.8,33.6932694111
314,0,164,0.8,33.7731366287
315,0,194,0.8,33.742280635
316,0,213,0.8,34.0347933563
317,0,234,0.8,34.3766782026
318,0,235,0.8,34.7773999771
319,0,240,0.8,34.9973246948
320,0,218,0.8,35.1655074636
321,0,225,0.8,35.0331906872
322,0,218,0.8,35.0515496768
323,0,204,0.8,35.0058832265
324,0,190,0.8,34.8423350652
325,0,179,0.8,34.6069077523
326,0,172,0.8,34.3660627126
327,0,180,0.8,34.1609660842
328,0,185,0.8,34.125558758
329,0,205,0.8,34.1495526614
330,0,205,0.8,34.3578162419
331,0,207,0.8,34.4616113866
332,0,204,0.8,34.5316929314
333,0,203,0.8,34.5513398531
334,0,185,0.8,34.5627844169
335,0,171,0.8,34.3964171193
336,0,162,0.8,34.1625069816
337,0,173,0.8,33.9411586789
338,0,160,0.8,33.9395897183
339,0,173,0.8,33.8039845158
340,0,168,0.8,33.8724257416
341,0,178,0.8,33.8534354669
342,0,190,0.8,33.9456837562
343,0,188,0.8,34.1118111297
344,0,184,0.8,34.1743496127
345,0,175,0.8,34.1609584974
346,0,185,0.8,34.0630574062
347,0,184,0.8,34.1265208645
348,0,179,0.8,34.1534314825
349,0,168,0.8,34.1184484237
350,0,149,0.8,33.9856378695
351,0,150,0.8,33.7192956849
352,0,152,0.8,33.5861663972
353,0,159,0.8,33.5270583856
354,0,178,0.8,33.5645043627
355,0,176,0.8,33.7787891203
356,0,176,0.8,33.8668800678
357,0,168,0.8,33.9120103514
358,0,151,0.8,33.8525806545
359,0,149,0.8,33.6521815259
360,0,156,0.8,33.5336046633
361,0,167,0.8,33.5536893067
362,0,179,0.8,33.674929224
363,0,190,0.8,33.8621270965
364,0,207,0.8,34.0681674117
365,0,225,0.8,34.3387899075
366,0,243,0.8,34.6643908468
367,0,243,0.8,35.0180575943
368,0,233,0.8,35.2023671373
369,0,204,0.8,35.1927419961
370,0,202,0.8,34.8914751961
371,0,175,0.8,34.7237821793
372,0,161,0.8,34.3760362288
373,0,144,0.8,34.0627803825
374,0,142,0.8,33.7271604479
375,0,156,0.8,33.5193148615
376,0,184,0.8,33.5492279692
377,0,195,0.8,33.8487965516
378,0,213,0.8,34.1059751983
379,0,206,0.8,34.4229327595
380,0,201,0.8,34.5120074929
381,0,192,0.8,34.5133676298
382,0,198,0.8,34.4157098806
383,0,178,0.8,34.4284972682
384,0,168,0.8,34.2234099296
385,0,164,0.8,34.0124534529
386,0,169,0.8,33.8591545313
387,0,175,0.8,33.8342004243
388,0,185,0.8,33.8838113295
389,0,195,0.8,34.0112015723
390,0,212,0.8,34.1820023525
391,0,198,0.8,34.4505876438
392,0,201,0.8,34.4479939439
393,0,197,0.8,34.4799559601
394,0,200,0.8,34.4560912377
395,0,205,0.8,34.4743105368
396,0,191,0.8,34.5409643395
397,0,186,0.8,34.4356951163
398,0,201,0.8,34.3352295627
399,0,208,0.8,34.434310477
400,0,211,0.8,34.5600684309
401,0,201,0.8,34.6543322263
402,0,194,0.8,34.6069764983
403,0,171,0.8,34.5113502113
404,0,170,0.8,34.2254907942
405,0,168,0.8,34.0657467373
406,0,160,0.8,33.9613773392
407,0,153,0.8,33.8221044291
408,0,176,0.8,33.6776180817
409,0,173,0.8,33.8350601444
410,0,170,0.8,33.8767946512
411,0,162,0.8,33.8615766947
412,0,153,0.8,33.7687957608
413,0,157,0.8,33.6286241054
414,0,157,0.8,33.5973416727
415,0,169,0.8,33.5832940489
416,0,170,0.8,33.6994062898
417,0,173,0.8,33.7724099763
418,0,185,0.8,33.8572606738
419,0,192,0.8,34.0438050705
420,0,198,0.8,34.2175894864
421,0,200,0.8,34.3603753167
422,0,197,0.8,34.4489776878
423,0,187,0.8,34.4500311785
424,0,181,0.8,34.341310659
425,0,162,0.8,34.2187655384
426,0,160,0.8,33.9581751026
427,0,169,0.8,33.8070005312
428,0,182,0.8,33.8227757319
429,0,192,0.8,33.9627912685
430,0,191,0.8,34.1309251132
431,0,190,0.8,34.2054247472
432,0,184,0.8,34.2264781128
433,0,183,0.8,34.1760755945
434,0,173,0.8,34.1406527871
435,0,186,0.8,34.021242961
436,0,201,0.8,34.0947580574
437,0,214,0.8,34.2870133343
438,0,210,0.8,34.5242782966
439,0,214,0.8,34.6079299398
440,0,206,0.8,34.7068821984
441,0,193,0.8,34.677171655
442,0,187,0.8,34.525573652
443,0,190,0.8,34.3770607974
444,0,188,0.8,34.3370910059
445,0,185,0.8,34.2994242594
446,0,175,0.8,34.2603676446
447,0,153,0.8,34.1306520634
448,0,146,0.8,33.8349357267
449,0,150,0.8,33.6054196733
450,0,169,0.8,33.5222974628
451,0,187,0.8,33.6699003953
452,0,192,0.8,33.9247523004
453,0,205,0.8,34.1040153806
454,0,209,0.8,34.3373999515
455,0,211,0.8,34.5012120578
456,0,192,0.8,34.6122937211
457,0,197,0.8,34.4742834927
458,0,183,0.8,34.4577169321
459,0,183,0.8,34.3048908663
460,0,180,0.8,34.2260585782
461,0,196,0.8,34.1572390434
462,0,192,0.8,34.2823979578
463,0,201,0.8,34.3048317645
464,0,193,0.8,34.4225699226
465,0,189,0.8,34.4087759391
466,0,177,0.8,34.3596643667
467,0,195,0.8,34.2002560662
468,0,202,0.8,34.2997253354
469,0,214,0.8,34.4205811008
470,0,204,0.8,34.6041215389
471,0,186,0.8,34.5997387855
472,0,162,0.8,34.4071257801
473,0,154,0.8,34.0657574854
474,0,164,0.8,33.8125451757
475,0,174,0.8,33.7873305491
476,0,189,0.8,33.8794200695
477,0,194,0.8,34.0756563098
478,0,204,0.8,34.2268542526
479,0,200,0.8,34.4109110724
480,0,196,0.8,34.4696832144
481,0,195,0.8,34.4594627036
482,0,186,0.8,34.4433397463
483,0,182,0.8,34.3341683575
484,0,175,0.8,34.2252700944
485,0,197,0.8,34.0941115517
486,0,208,0.8,34.2550017053
487,0,204,0.8,34.4530655415
488,0,208,0.8,34.5150329358
489,0,184,0.8,34.5928993003
490,0,174,0.8,34.3836314632
491,0,184,0.8,34.1709759544
492,0,195,0.8,34.1578447765
493,0,202,0.8,34.2722764839
494,0,211,0.8,34.412897105
495,0,222,0.8,34.5859530856
496,0,220,0.8,34.7906140975
497,0,236,0.8,34.8696715464
498,0,213,0.8,35.0639720802
499,0,207,0.8,34.9210215075
500,0,208,0.8,34.7883080015
501,0,193,0.8,34.7391228163
502,0,201,0.8,34.5616239541
503,0,198,0.8,34.5489663784
504,0,209,0.8,34.505201296
505,0,218,0.8,34.5917996265
506,0,222,0.8,34.7355311451
507,0,228,0.8,34.8580123912
508,0,224,0.8,34.990816999
509,0,217,0.8,35.0120760582
510,0,203,0.8,34.9436220331
511,0,192,0.8,34.7563188542
512,0,185,0.8,34.5403987751
513,0,180,0.8,34.3570929669
514,0,178,0.8,34.2080036692
515,0,174,0.8,34.1118576611
516,0,173,0.8,34.0164072539
517,0,180,0.8,33.962092443
518,0,171,0.8,34.0190402358
519,0,181,0.8,33.9584079112
520,0,171,0.8,34.0316939403
521,0,173,0.8,33.9562614093
522,0,169,0.8,33.9409484354
523,0,182,0.8,33.8979367199
524,0,193,0.8,34.0188950684
525,0,203,0.8,34.1998523767
526,0,207,0.8,34.3965368964
527,0,205,0.8,34.5328361575
528,0,189,0.8,34.5818269873
529,0,180,0.8,34.4399484189
530,0,165,0.8,34.2716428089
531,0,160,0.8,34.0268460449
532,0,152,0.8,33.8463874913
533,0,161,0.8,33.664595162
534,0,175,0.8,33.667641582
535,0,170,0.8,33.8135561569
536,0,180,0.8,33.8388986428
537,0,183,0.8,33.9560426793
538,0,190,0.8,34.0398470609
539,0,183,0.8,34.1567933614
540,0,186,0.8,34.1393105431
541,0,194,0.8,34.1593840583
542,0,208,0.8,34.2516986855
543,0,204,0.8,34.4475235227
544,0,191,0.8,34.5115665192
545,0,186,0.8,34.4170471079
546,0,178,0.8,34.3135246382
547,0,182,0.8,34.1729711471
548,0,179,0.8,34.1458101024
549,0,178,0.8,34.0974318015
550,0,182,0.8,34.0701157193
551,0,185,0.8,34.0952302945
552,0,194,0.8,34.1433951983
553,0,195,0.8,34.2557518343
554,0,203,0.8,34.3260351278
555,0,191,0.8,34.4461823782
556,0,185,0.8,34.389581541
557,0,189,0.8,34.3004572017
558,0,202,0.8,34.2930865823
559,0,213,0.8,34.423564414
560,0,218,0.8,34.6139684978
561,0,207,0.8,34.7697002585
562,0,210,0.8,34.7338064475
563,0,207,0.8,34.7354887667
564,0,214,0.8,34.7029989913
565,0,214,0.8,34.7568089581
566,0,226,0.8,34.7823160811
567,0,220,0.8,34.9212464797
568,0,221,0.8,34.9280271981
569,0,225,0.8,34.9399100003
570,0,204,0.8,34.9782642018
571,0,197,0.8,34.7799150746
572,0,189,0.8,34.6077369886
573,0,181,0.8,34.4373318045
574,0,184,0.8,34.2695939246
575,0,169,0.8,34.215583507
576,0,172,0.8,34.0319466663
577,0,160,0.8,33.9753134672
578,0,155,0.8,33.8162440281
579,0,149,0.8,33.6808422518
580,0,141,0.8,33.5418430619
581,0,145,0.8,33.3908826926
582,0,149,0.8,33.3563909524
583,0,164,0.8,33.3805670643
584,0,179,0.8,33.5406774697
585,0,178,0.8,33.7754946181
586,0,182,0.8,33.8861859933
587,0,179,0.8,33.9880567581
588,0,161,0.8,34.0089875744
589,0,152,0.8,33.8366696339
590,0,156,0.8,33.6566864922
591,0,167,0.8,33.6045779207
592,0,175,0.8,33.6885970999
593,0,194,0.8,33.8199670819
594,0,200,0.8,34.0879633829
595,0,185,0.8,34.2848764719
596,0,181,0.8,34.2204100749
597,0,167,0.8,34.146025732
598,0,177,0.8,33.963378912
599,0,177,0.8,33.9799553925
600,0,178,0.8,33.9915237863
601,0,189,0.8,34.0132488686
602,0,181,0.8,34.1367895916
603,0,190,0.8,34.1193169347
604,0,184,0.8,34.2103668832
605,0,184,0.8,34.2028368184
606,0,185,0.8,34.2012193311
607,0,195,0.8,34.2097167784
608,0,184,0.8,34.3204201351
609,0,176,0.8,34.2542635419
610,0,183,0.8,34.1376328547
611,0,181,0.8,34.152160282
612,0,178,0.8,34.148513771
613,0,187,0.8,34.119611163
614,0,207,0.8,34.1905897323
615,0,198,0.8,34.4353373782
616,0,190,0.8,34.4687516556
617,0,185,0.8,34.4152023285
618,0,174,0.8,34.3289261112
619,0,179,0.8,34.1601944773
620,0,174,0.8,34.1100268754
621,0,189,0.8,34.0319299226
622,0,196,0.8,34.1557806727
623,0,207,0.8,34.3090511534
624,0,211,0.8,34.5089885475
625,0,202,0.8,34.6460547634
626,0,186,0.8,34.6161834962
627,0,165,0.8,34.4258224407
628,0,158,0.8,34.1047690684
629,0,165,0.8,33.8586452328
630,0,163,0.8,33.7989276976
631,0,162,0.8,33.7441165539
632,0,163,0.8,33.7077708135
633,0,162,0.8,33.7067789192
634,0,183,0.8,33.6969081034
635,0,198,0.8,33.9037674424
636,0,199,0.8,34.1595703021
637,0,211,0.8,34.3052910527
638,0,202,0.8,34.5235266393
639,0,189,0.8,34.5567615372
640,0,188,0.8,34.4392164923
641,0,187,0.8,34.3546827235
642,0,182,0.8,34.2827743756
643,0,181,0.8,34.1913172266
644,0,176,0.8,34.1373450955
645,0,179,0.8,34.0645832276
646,0,186,0.8,34.062409644
647,0,192,0.8,34.1392207714
648,0,206,0.8,34.2445959938
649,0,209,0.8,34.4437448266
650,0,209,0.8,34.5751437446
651,0,209,0.8,34.6355306365
652,0,195,0.8,34.6618683829
653,0,188,0.8,34.5225491275
654,0,183,0.8,34.3751766577
655,0,175,0.8,34.2440741278
656,0,174,0.8,34.0935424179
657,0,171,0.8,34.0144458831
658,0,174,0.8,33.9550809768
659,0,165,0.8,33.9651090994
660,0,143,0.8,33.8752912373
661,0,150,0.8,33.6024870507
662,0,151,0.8,33.5388717164
663,0,163,0.8,33.5106733727
664,0,178,0.8,33.6176641099
665,0,181,0.8,33.8162197857
666,0,199,0.8,33.9450197994
667,0,195,0.8,34.2002649998
668,0,182,0.8,34.2877738815
669,0,163,0.8,34.2060579613
670,0,158,0.8,33.9749507253
671,0,157,0.8,33.8109556296
672,0,166,0.8,33.7204654869
673,0,176,0.8,33.7653357234
674,0,186,0.8,33.8867962126
675,0,178,0.8,34.0483889226
676,0,193,0.8,34.0464038156
677,0,201,0.8,34.200570474
678,0,189,0.8,34.3609077386
679,0,183,0.8,34.312945293
680,0,183,0.8,34.2286134194
681,0,189,0.8,34.1868544893
682,0,192,0.8,34.2248835963
683,0,213,0.8,34.2734107953
684,0,213,0.8,34.5183106534
685,0,207,0.8,34.6446486179
686,0,214,0.8,34.6495087706
687,0,204,0.8,34.7254021843
688,0,199,0.8,34.6585723804
689,0,183,0.8,34.565579269
690,0,182,0.8,34.3501056122
691,0,179,0.8,34.2314595975
692,0,187,0.8,34.1474320881
693,0,203,0.8,34.1904201616
694,0,223,0.8,34.3874073891
695,0,230,0.8,34.693714413
696,0,232,0.8,34.9239133731
697,0,219,0.8,35.0575778985
698,0,215,0.8,34.9815917454
699,0,211,0.8,34.897905228
700,0,209,0.8,34.8109802816
701,0,205,0.8,34.7469980382
702,0,200,0.8,34.6771559073
703,0,191,0.8,34.5891502562
704,0,193,0.8,34.4479990372
705,0,192,0.8,34.3871546467
706,0,193,0.8,34.3462173233
707,0,183,0.8,34.3421785609
708,0,179,0.8,34.2415429062
709,0,169,0.8,34.1530197063
710,0,176,0.8,34.0084384871
711,0,175,0.8,34.003105015
712,0,197,0.8,33.9840986935
713,0,198,0.8,34.1997840463
714,0,207,0.8,34.3223804092
715,0,203,0.8,34.4777175601
716,0,195,0.8,34.5154744627
717,0,169,0.8,34.4494476954
718,0,174,0.8,34.1511963362
719,0,179,0.8,34.0606666604
720,0,194,0.8,34.0817278569
721,0,211,0.8,34.2524327389
722,0,210,0.8,34.5161323509
723,0,209,0.8,34.6399273191
724,0,210,0.8,34.6848074422
725,0,209,0.8,34.7029807255
726,0,215,0.8,34.6923515251
727,0,215,0.8,34.7426811402
728,0,214,0.8,34.7675606913
729,0,210,0.8,34.7642920707
730,0,207,0.8,34.7188770567
731,0,198,0.8,34.6670636622
732,0,188,0.8,34.5527253776
733,0,193,0.8,34.3939743665
734,0,186,0.8,34.3631370921
735,0,185,0.8,34.2718698716
736,0,180,0.8,34.2171957752
737,0,185,0.8,34.1459782073
738,0,199,0.8,34.1610124855
739,0,182,0.8,34.3153214721
740,0,190,0.8,34.2106808428
741,0,180,0.8,34.2392815935
742,0,193,0.8,34.1469933118
743,0,190,0.8,34.2345498779
744,0,184,0.8,34.244515817
745,0,187,0.8,34.1921789904
746,0,181,0.8,34.1955790323
747,0,180,0.8,34.1379465117
748,0,178,0.8,34.0901150438
749,0,182,0.8,34.0448789505
750,0,181,0.8,34.060565851
751,0,181,0.8,34.0607898377
752,0,176,0.8,34.0669194569
753,0,183,0.8,34.0257723502
754,0,192,0.8,34.0850906966
755,0,190,0.8,34.208307369
756,0,190,0.8,34.2471418663
757,0,198,0.8,34.2648596701
758,0,194,0.8,34.3514250671
759,0,185,0.8,34.3561213779
760,0,195,0.8,34.2600875874
761,0,187,0.8,34.3141702913
762,0,178,0.8,34.2575293194
763,0,192,0.8,34.1391514612
764,0,197,0.8,34.2284337368
765,0,206,0.8,34.3300504433
766,0,209,0.8,34.4754594916
767,0,195,0.8,34.5700771244
768,0,198,0.8,34.4739964097
769,0,189,0.8,34.4502307542
770,0,186,0.8,34.3468028159
771,0,182,0.8,34.2685627632
772,0,173,0.8,34.1947627755
773,0,173,0.8,34.0723673381
774,0,174,0.8,34.0149729426
775,0,190,0.8,33.9959376095
776,0,187,0.8,34.1434548862
777,0,196,0.8,34.176041843
778,0,176,0.8,34.2826909219
779,0,173,0.8,34.1443099913
780,0,168,0.8,34.0513540826
781,0,164,0.8,33.9645612873
782,0,171,0.8,33.8759353387
783,0,172,0.8,33.9004798481
784,0,193,0.8,33.914089193
785,0,187,0.8,34.133578199
786,0,173,0.8,34.18078144
787,0,157,0.8,34.0670708353
788,0,159,0.8,33.8391852638
789,0,158,0.8,33.7414178128
790,0,174,0.8,33.6748351142
791,0,192,0.8,33.7943112935
792,0,210,0.8,34.0428399853
793,0,228,0.8,34.3579974298
794,0,240,0.8,34.7049201892
795,0,212,0.8,35.005350654
796,0,190,0.8,34.872036184
797,0,171,0.8,34.5879920068
798,0,169,0.8,34.2522113421
799,0,155,0.8,34.0686686308
800,0,153,0.8,33.8364399574
801,0,152,0.8,33.6954038211
802,0,167,0.8,33.6034990108
803,0,184,0.8,33.7098057805
804,0,206,0.8,33.9389135272
805,0,210,0.8,34.2768329293
806,0,216,0.8,34.4830620409
807,0,196,0.8,34.6458767805
808,0,174,0.8,34.5246654291
809,0,153,0.8,34.2393888856
810,0,155,0.8,33.8852276684
811,0,166,0.8,33.7342058228
812,0,172,0.8,33.7711923656
813,0,178,0.8,33.8408657499
814,0,163,0.8,33.93037014
815,0,161,0.8,33.8245002721
816,0,159,0.8,33.7599292972
817,0,150,0.8,33.7158323828
818,0,149,0.8,33.6008011542
819,0,146,0.8,33.5282519745
820,0,153,0.8,33.4513839467
821,0,170,0.8,33.4775891864
822,0,175,0.8,33.6541115875
